in s,C2 in V
-1.183888E-04,2.19852E+01
-1.183880E-04,2.17898E+01
-1.183872E-04,2.23758E+01
-1.183864E-04,2.31570E+01
-1.183856E-04,2.33523E+01
-1.183848E-04,2.33523E+01
-1.183840E-04,2.17898E+01
-1.183832E-04,2.23758E+01
-1.183824E-04,2.19852E+01
-1.183816E-04,2.17898E+01
-1.183808E-04,2.17898E+01
-1.183800E-04,2.21805E+01
-1.183792E-04,2.17898E+01
-1.183784E-04,2.27664E+01
-1.183776E-04,2.17898E+01
-1.183768E-04,2.23758E+01
-1.183760E-04,2.23758E+01
-1.183752E-04,2.23758E+01
-1.183744E-04,2.21805E+01
-1.183736E-04,2.21805E+01
-1.183728E-04,2.19852E+01
-1.183720E-04,2.15945E+01
-1.183712E-04,2.19852E+01
-1.183704E-04,2.15945E+01
-1.183696E-04,2.13992E+01
-1.183688E-04,2.21805E+01
-1.183680E-04,2.21805E+01
-1.183672E-04,2.25711E+01
-1.183664E-04,2.17898E+01
-1.183656E-04,2.23758E+01
-1.183648E-04,2.27664E+01
-1.183640E-04,2.25711E+01
-1.183632E-04,2.15945E+01
-1.183624E-04,2.19852E+01
-1.183616E-04,2.17898E+01
-1.183608E-04,2.19852E+01
-1.183600E-04,2.19852E+01
-1.183592E-04,2.27664E+01
-1.183584E-04,2.19852E+01
-1.183576E-04,2.23758E+01
-1.183568E-04,2.21805E+01
-1.183560E-04,2.29617E+01
-1.183552E-04,2.27664E+01
-1.183544E-04,2.25711E+01
-1.183536E-04,2.17898E+01
-1.183528E-04,2.17898E+01
-1.183520E-04,2.21805E+01
-1.183512E-04,2.21805E+01
-1.183504E-04,2.13992E+01
-1.183496E-04,2.21805E+01
-1.183488E-04,2.25711E+01
-1.183480E-04,2.29617E+01
-1.183472E-04,2.25711E+01
-1.183464E-04,2.21805E+01
-1.183456E-04,2.17898E+01
-1.183448E-04,2.25711E+01
-1.183440E-04,2.17898E+01
-1.183432E-04,2.21805E+01
-1.183424E-04,2.17898E+01
-1.183416E-04,2.19852E+01
-1.183408E-04,2.12039E+01
-1.183400E-04,2.17898E+01
-1.183392E-04,2.19852E+01
-1.183384E-04,2.21805E+01
-1.183376E-04,2.25711E+01
-1.183368E-04,2.21805E+01
-1.183360E-04,2.21805E+01
-1.183352E-04,2.21805E+01
-1.183344E-04,2.19852E+01
-1.183336E-04,2.17898E+01
-1.183328E-04,2.21805E+01
-1.183320E-04,2.21805E+01
-1.183312E-04,2.13992E+01
-1.183304E-04,2.17898E+01
-1.183296E-04,2.23758E+01
-1.183288E-04,2.25711E+01
-1.183280E-04,2.15945E+01
-1.183272E-04,2.27664E+01
-1.183264E-04,2.17898E+01
-1.183256E-04,2.25711E+01
-1.183248E-04,2.13992E+01
-1.183240E-04,2.17898E+01
-1.183232E-04,2.21805E+01
-1.183224E-04,2.15945E+01
-1.183216E-04,2.15945E+01
-1.183208E-04,2.21805E+01
-1.183200E-04,2.15945E+01
-1.183192E-04,2.25711E+01
-1.183184E-04,2.17898E+01
-1.183176E-04,2.19852E+01
-1.183168E-04,2.19852E+01
-1.183160E-04,2.15945E+01
-1.183152E-04,2.12039E+01
-1.183144E-04,2.19852E+01
-1.183136E-04,2.15945E+01
-1.183128E-04,2.21805E+01
-1.183120E-04,2.17898E+01
-1.183112E-04,2.21805E+01
-1.183104E-04,2.17898E+01
-1.183096E-04,2.21805E+01
-1.183088E-04,2.17898E+01
-1.183080E-04,2.23758E+01
-1.183072E-04,2.21805E+01
-1.183064E-04,2.21805E+01
-1.183056E-04,2.19852E+01
-1.183048E-04,2.27664E+01
-1.183040E-04,2.19852E+01
-1.183032E-04,2.23758E+01
-1.183024E-04,2.17898E+01
-1.183016E-04,2.21805E+01
-1.183008E-04,2.13992E+01
-1.183000E-04,2.15945E+01
-1.182992E-04,2.13992E+01
-1.182984E-04,2.21805E+01
-1.182976E-04,2.15945E+01
-1.182968E-04,2.19852E+01
-1.182960E-04,2.15945E+01
-1.182952E-04,2.17898E+01
-1.182944E-04,2.15945E+01
-1.182936E-04,2.15945E+01
-1.182928E-04,2.13992E+01
-1.182920E-04,2.19852E+01
-1.182912E-04,2.19852E+01
-1.182904E-04,2.19852E+01
-1.182896E-04,2.15945E+01
-1.182888E-04,2.17898E+01
-1.182880E-04,2.13992E+01
-1.182872E-04,2.15945E+01
-1.182864E-04,2.08133E+01
-1.182856E-04,2.13992E+01
-1.182848E-04,2.15945E+01
-1.182840E-04,2.12039E+01
-1.182832E-04,2.13992E+01
-1.182824E-04,2.13992E+01
-1.182816E-04,2.15945E+01
-1.182808E-04,2.15945E+01
-1.182800E-04,2.13992E+01
-1.182792E-04,2.17898E+01
-1.182784E-04,2.10086E+01
-1.182776E-04,2.13992E+01
-1.182768E-04,2.06180E+01
-1.182760E-04,2.13992E+01
-1.182752E-04,2.13992E+01
-1.182744E-04,2.12039E+01
-1.182736E-04,2.06180E+01
-1.182728E-04,2.15945E+01
-1.182720E-04,2.13992E+01
-1.182712E-04,2.13992E+01
-1.182704E-04,2.10086E+01
-1.182696E-04,2.15945E+01
-1.182688E-04,2.13992E+01
-1.182680E-04,2.12039E+01
-1.182672E-04,2.10086E+01
-1.182664E-04,2.08133E+01
-1.182656E-04,2.17898E+01
-1.182648E-04,2.12039E+01
-1.182640E-04,2.12039E+01
-1.182632E-04,2.12039E+01
-1.182624E-04,2.08133E+01
-1.182616E-04,2.12039E+01
-1.182608E-04,2.08133E+01
-1.182600E-04,2.06180E+01
