in s,C1 in V
-3.0332416E-03,-6.58574E+00
-3.0331952E-03,-5.95098E+00
-3.0331488E-03,-5.85332E+00
-3.0331024E-03,-5.99980E+00
-3.0330560E-03,-6.19512E+00
-3.0330096E-03,-6.09746E+00
-3.0329632E-03,-5.70684E+00
-3.0329168E-03,-5.31621E+00
-3.0328704E-03,-3.75371E+00
-3.0328240E-03,-3.35742E-01
-3.0327776E-03,4.40059E+00
-3.0327312E-03,8.69746E+00
-3.0326848E-03,1.22619E+01
-3.0326384E-03,1.37756E+01
-3.0325920E-03,1.37756E+01
-3.0325456E-03,1.37756E+01
-3.0324992E-03,1.37756E+01
-3.0324528E-03,1.37756E+01
-3.0324064E-03,1.37756E+01
-3.0323600E-03,1.37756E+01
-3.0323136E-03,1.37756E+01
-3.0322672E-03,1.37756E+01
-3.0322208E-03,1.20666E+01
-3.0321744E-03,9.77168E+00
-3.0321280E-03,7.33027E+00
-3.0320816E-03,4.44941E+00
-3.0320352E-03,1.37324E+00
-3.0319888E-03,-1.75176E+00
-3.0319424E-03,-4.48613E+00
-3.0318960E-03,-7.02520E+00
-3.0318496E-03,-9.02715E+00
-3.0318032E-03,-1.05896E+01
-3.0317568E-03,-1.10291E+01
-3.0317104E-03,-9.61309E+00
-3.0316640E-03,-7.46465E+00
-3.0316176E-03,-5.51152E+00
-3.0315712E-03,-5.75566E+00
-3.0315248E-03,-7.61113E+00
-3.0314784E-03,-9.07598E+00
-3.0314320E-03,-8.53887E+00
-3.0313856E-03,-7.22051E+00
-3.0313392E-03,-6.53691E+00
-3.0312928E-03,-6.73223E+00
-3.0312464E-03,-6.87871E+00
-3.0312000E-03,-6.87871E+00
-3.0311536E-03,-6.34160E+00
-3.0311072E-03,-6.63457E+00
-3.0310608E-03,-6.92754E+00
-3.0310144E-03,-6.78105E+00
-3.0309680E-03,-6.19512E+00
-3.0309216E-03,-5.70684E+00
-3.0308752E-03,-5.75566E+00
-3.0308288E-03,-5.99980E+00
-3.0307824E-03,-6.14629E+00
-3.0307360E-03,-5.80449E+00
-3.0306896E-03,-5.56035E+00
-3.0306432E-03,-4.82793E+00
-3.0305968E-03,-2.33770E+00
-3.0305504E-03,1.86152E+00
-3.0305040E-03,6.69551E+00
-3.0304576E-03,1.07971E+01
-3.0304112E-03,1.33361E+01
-3.0303648E-03,1.37756E+01
-3.0303184E-03,1.37756E+01
-3.0302720E-03,1.37756E+01
-3.0302256E-03,1.37756E+01
-3.0301792E-03,1.37756E+01
-3.0301328E-03,1.37756E+01
-3.0300864E-03,1.37756E+01
